Read angle [deg],Angle [deg],Count,Measurement Time [s],Normalized count [/s]
0,-90,18,120,0.15
5,-85,12,120,0.1
10,-80,22,120,0.1833333333
15,-75,20,120,0.1666666667
20,-70,15,120,0.125
25,-65,11,120,0.09166666667
30,-60,21,120,0.175
35,-55,18,120,0.15
40,-50,19,120,0.1583333333
45,-45,15,120,0.125
50,-40,19,120,0.1583333333
55,-35,20,120,0.1666666667
60,-30,22,120,0.1833333333
65,-25,16,120,0.1333333333
70,-20,26,120,0.2166666667
75,-15,17,120,0.1416666667
80,-10,32,120,0.2666666667
82,-8,223,120,1.858333333
84,-6,58,10,5.8
86,-4,110,10,11
88,-2,162,10,16.2
90,0,192,10,19.2
92,2,141,10,14.1
94,4,79,10,7.9
96,6,48,10,4.8
98,8,7,10,0.7
100,10,14,60,0.2333333333
105,15,7,60,0.1166666667
110,20,9,60,0.15
115,25,14,60,0.2333333333
120,30,5,60,0.08333333333
125,35,8,60,0.1333333333
130,40,7,60,0.1166666667
135,45,9,60,0.15
140,50,9,60,0.15
145,55,4,60,0.06666666667
150,60,9,60,0.15
155,65,8,60,0.1333333333
160,70,7,60,0.1166666667
165,75,8,60,0.1333333333
170,80,10,60,0.1666666667
175,85,13,60,0.2166666667
180,90,11,60,0.1833333333